student_id,problem_id,correct,skill_ids
103,208,1,"[46, 75, 88, 57]"
436,321,1,"[21, 70]"
861,140,1,"[65, 95, 84, 60]"
271,280,1,"[71, 37, 20]"
107,34,1,"[88, 27, 91, 53]"
72,309,0,"[99, 88, 40]"
701,392,1,[37]
21,18,1,"[75, 36, 30]"
615,57,0,"[17, 89]"
122,112,1,"[8, 10]"
467,5,0,"[1, 28, 50]"
215,410,0,"[68, 22]"
331,414,1,"[6, 55, 76, 61]"
459,182,0,"[99, 79]"
88,13,0,"[52, 42, 82]"
373,339,0,[34]
100,285,1,"[13, 92, 68]"
872,259,1,"[48, 17]"
664,90,0,"[0, 26, 63]"
131,104,1,"[90, 88, 40, 20]"
662,379,1,"[19, 91]"
309,186,1,[86]
770,250,1,"[65, 83, 23]"
344,255,1,"[88, 36, 85]"
492,76,0,"[23, 14, 11]"
414,386,0,"[94, 63]"
806,459,1,"[52, 93, 83]"
386,108,0,"[43, 29, 34, 20]"
192,156,0,"[62, 91, 16]"
956,82,1,"[17, 91, 59, 66]"
277,77,1,"[14, 15, 21]"
161,485,0,"[94, 62]"
460,470,1,"[0, 74, 5]"
314,460,0,"[8, 51, 79]"
22,258,0,"[57, 18]"
253,127,1,[12]
748,485,1,"[31, 99, 8]"
857,391,1,"[48, 36]"
561,282,1,"[30, 58, 54]"
475,474,1,"[62, 1, 44]"
59,88,0,"[42, 97, 0, 84]"
511,204,1,[2]
682,16,0,"[43, 6, 32]"
476,151,1,[29]
700,424,0,"[55, 89]"
976,254,1,"[30, 71, 62, 86]"
783,188,0,"[88, 0]"
190,329,0,"[81, 18]"
958,32,1,"[63, 52, 5]"
687,271,0,[45]
958,485,1,[71]
563,397,1,"[72, 54]"
876,5,1,"[99, 5, 69]"
567,459,0,[67]
244,330,1,"[39, 90]"
832,308,1,[65]
505,333,0,[10]
131,169,0,"[42, 57, 77, 25]"
485,181,1,"[93, 35]"
819,366,1,"[98, 54]"
647,178,1,"[2, 64]"
21,143,0,"[63, 57, 57, 17]"
841,362,0,"[95, 28, 22]"
167,248,1,"[35, 69, 80, 81]"
274,127,1,"[5, 33, 43]"
388,263,1,"[26, 99, 51, 41]"
601,40,0,[73]
316,412,1,"[38, 11, 10]"
14,416,1,[2]
242,355,1,"[21, 3, 7, 13]"
777,255,1,"[87, 13, 91, 15]"
346,143,1,"[63, 75, 15, 51]"
565,240,1,"[68, 11, 92]"
898,228,0,[41]
340,341,1,"[16, 71]"
92,198,1,"[93, 9, 83, 15]"
367,65,0,[15]
956,388,1,"[2, 22]"
455,11,1,"[27, 44]"
428,108,1,"[67, 23, 18, 74]"
509,26,0,"[45, 39, 61, 17]"
776,445,1,"[13, 81, 60, 11]"
943,421,0,"[26, 5, 87, 32]"
35,151,1,[79]
206,221,1,"[11, 94]"
81,341,0,[52]
932,496,0,[71]
562,237,1,"[2, 63]"
872,237,0,"[83, 57]"
388,497,1,"[44, 65, 35, 22]"
2,219,1,[18]
390,487,1,"[71, 15, 57, 17]"
566,424,1,"[23, 0, 0, 63]"
106,461,1,"[35, 74]"
772,151,1,"[15, 16]"
822,123,1,"[97, 67, 98, 78]"
477,144,1,"[94, 72]"
703,478,0,"[52, 88]"
402,189,0,"[68, 13, 65]"
730,255,0,"[92, 52]"
556,68,1,[83]
162,104,1,"[71, 48, 89, 61]"
202,336,0,[48]
958,159,0,"[32, 21, 69, 32]"
996,309,1,"[87, 3, 65, 76]"
270,362,0,"[48, 10]"
863,409,0,"[38, 9, 73]"
816,300,0,"[68, 22, 33, 31]"
271,396,1,"[67, 53, 27, 59]"
